# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
exp_mod_normal_cdf;(reals y, reals mu, reals sigma, reals lambda);real;511
exp_mod_normal_lccdf;(reals y | reals mu, reals sigma, reals lambda);real;511
exp_mod_normal_lcdf;(reals y | reals mu, reals sigma, reals lambda);real;511
exp_mod_normal_lpdf;(reals y | reals mu, reals sigma, reals lambda);real;511
exp_mod_normal_rng;(real mu, real sigma, real lambda);real;511
expm1;(T x);R;442
exponential;~;real;521
exponential_cdf;(reals y, reals beta);real;522
exponential_lccdf;(reals y | reals beta);real;522
exponential_lcdf;(reals y | reals beta);real;522
exponential_lpdf;(reals y | reals beta);real;521
exponential_rng;(real beta);real;522
fabs;(T x);R;429
falling_factorial;(real x, real n);real;441
fdim;(real x, real y);real;429
floor;(T x);R;430
fma;(real x, real y, real z);real;442
fmax;(real x, real y);real;430
fmin;(real x, real y);real;430
fmod;(real x, real y);real;430
frechet;~;real;525
frechet_cdf;(reals y, reals alpha, reals sigma);real;525
frechet_lccdf;(reals y | reals alpha, reals sigma);real;525
frechet_lcdf;(reals y | reals alpha, reals sigma);real;525
frechet_lpdf;(reals y | reals alpha, reals sigma);real;525
frechet_rng;(real alpha, real sigma);real;525
gamma;~;real;522
gamma_cdf;(reals y, reals alpha, reals beta);real;522
gamma_lccdf;(reals y | reals alpha, reals beta);real;523
gamma_lcdf;(reals y | reals alpha, reals beta);real;522
gamma_lpdf;(reals y | reals alpha, reals beta);real;522
gamma_p;(real a, real z);real;439
gamma_q;(real a, real z);real;439
gamma_rng;(real alpha, real beta);real;523
gaussian_dlm_obs;~;real;541
gaussian_dlm_obs_lpdf;(matrix y | matrix F, matrix G, matrix V, matrix W, vector m0, matrix C0);real;541
gaussian_dlm_obs_lpdf;(matrix y | matrix F, matrix G, vector V, matrix W, vector m0, matrix C0);real;541
get_lp;();real;424
gumbel;~;real;517
gumbel_cdf;(reals y, reals mu, reals beta);real;517
gumbel_lccdf;(reals y | reals mu, reals beta);real;517
gumbel_lcdf;(reals y | reals mu, reals beta);real;517
gumbel_lpdf;(reals y | reals mu, reals beta);real;517
gumbel_rng;(real mu, real beta);real;517
head;(T[] sv, int n);T[];464
head;(row_vector rv, int n);row_vector;463
head;(vector v, int n);vector;463
hypergeometric;~;real;500
hypergeometric_lpmf;(int n | int N, int a, int b);real;500
hypergeometric_rng;(int N, real a, real b);int;500
hypot;(real x, real y);real;433
inc_beta;(real alpha, real beta, real x);real;438
int_step;(int x);int;420
int_step;(real x);int;420
integrate_ode;(function ode, real[] initial_state, real initial_time, real[] times, real[] theta, real[] x_r, int[] x_i);real[  ,  ];487
integrate_ode_bdf;(function ode, real[] initial_state, real initial_time, real[] times, real[] theta, real[] x_r, int[] x_i);real[];487
integrate_ode_bdf;(function ode, real[] initial_state, real initial_time, real[] times, real[] theta, real[] x_r, int[] x_i, real rel_tol, real abs_tol, int max_num_steps);real[];487
integrate_ode_rk45;(function ode, real[] initial_state, real initial_time, real[] times, real[] theta, real[] x_r, int[] x_i);real[  ,  ];487
integrate_ode_rk45;(function ode, real[] initial_state, real initial_time, real[] times, real[] theta, real[] x_r, int[] x_i, real rel_tol, real abs_tol, int max_num_steps);real[  ,  ];487
inv;(T x);R;433
inv_Phi;(T x);R;437
inv_chi_square;~;real;520
inv_chi_square_cdf;(reals y, reals nu);real;520
inv_chi_square_lccdf;(reals y | reals nu);real;520
inv_chi_square_lcdf;(reals y | reals nu);real;520
inv_chi_square_lpdf;(reals y | reals nu);real;520
inv_chi_square_rng;(real nu);real;520
inv_cloglog;(T x);R;436
inv_gamma;~;real;523
inv_gamma_cdf;(reals y, reals alpha, reals beta);real;523
inv_gamma_lccdf;(reals y | reals alpha, reals beta);real;523
inv_gamma_lcdf;(reals y | reals alpha, reals beta);real;523
inv_gamma_lpdf;(reals y | reals alpha, reals beta);real;523
inv_gamma_rng;(real alpha, real beta);real;523
inv_logit;(T x);R;436
inv_sqrt;(T x);R;433
inv_square;(T x);R;433
inv_wishart;~;real;547
inv_wishart_lpdf;(matrix W | real nu, matrix Sigma);real;547
inv_wishart_rng;(real nu, matrix Sigma);matrix;547
inverse;(matrix A);matrix;470
inverse_spd;(matrix A);matrix;470
is_inf;(real x);int;427
is_nan;(real x);int;427
lbeta;(real alpha, real beta);real;438
lchoose;(real x, real y);real;441
lgamma;(T x);R;438
lkj_corr;~;real;543
lkj_corr_cholesky;~;real;545
lkj_corr_cholesky_lpdf;(matrix L | real eta);real;545
lkj_corr_cholesky_rng;(int K, real eta);matrix;545
lkj_corr_lpdf;(matrix y | real eta);real;544
lkj_corr_rng;(int K, real eta);matrix;544
lmgamma;(int n, real x);real;439
lmultiply;(real x, real y);real;443
log10;();real;423
