# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
to_row_vector;(int[] a);row_vector;478
to_row_vector;(matrix m);row_vector;477
to_row_vector;(real[] a);row_vector;478
to_row_vector;(row_vector v);row_vector;478
to_row_vector;(vector v);row_vector;477
to_vector;(int[] a);vector;477
to_vector;(matrix m);vector;477
to_vector;(real[] a);vector;477
to_vector;(row_vector v);vector;477
to_vector;(vector v);vector;477
trace;(matrix A);real;470
trace_gen_quad_form;(matrix D,matrix A, matrix B);real;459
trace_quad_form;(matrix A, matrix B);real;459
trigamma;(T x);R;439
trunc;(T x);R;431
uniform;~;real;534
uniform_cdf;(reals y, reals alpha, reals beta);real;534
uniform_lccdf;(reals y | reals alpha, reals beta);real;534
uniform_lcdf;(reals y | reals alpha, reals beta);real;534
uniform_lpdf;(reals y | reals alpha, reals beta);real;534
uniform_rng;(real alpha, real beta);real;534
variance;(matrix x);real;461
variance;(real[] x);real;446
variance;(row_vector x);real;461
variance;(vector x);real;461
von_mises;~;real;532
von_mises_lpdf;(reals y | reals mu, reals kappa);real;532
von_mises_rng;(reals mu, reals kappa);real;532
weibull;~;real;524
weibull_cdf;(reals y, reals alpha, reals sigma);real;524
weibull_lccdf;(reals y | reals alpha, reals sigma);real;524
weibull_lcdf;(reals y | reals alpha, reals sigma);real;524
weibull_lpdf;(reals y | reals alpha, reals sigma);real;524
weibull_rng;(real alpha, real sigma);real;524
wiener;~;real;527
wiener_lpdf;(reals y | reals alpha, reals tau, reals beta, reals delta);real;527
wishart;~;real;546
wishart_lpdf;(matrix W | real nu, matrix Sigma);real;546
wishart_rng;(real nu, matrix Sigma);matrix;546
